"Gene.symbol","Gene.chromosome.primaryIdentifier","Gene.chromosomeLocation.start","Gene.chromosomeLocation.end","Gene.chromosomeLocation.strand","Gene.featureType"
"NEM1","chrVIII","111754","113094","-1","ORF"
"BET5","chrXIII","111865","112344","1","ORF"
"RER1","chrIII","111916","112482","1","ORF"
"","chrXV","112102","113130","1","ORF"
"","chrXII","112234","112545","1","pseudogene"
"HXT10","chrVI","112345","113985","1","ORF"
"KEX1","chrVII","112475","114664","-1","ORF"
"WAR1","chrXIII","112513","115347","-1","ORF"
"PTH2","chrII","112801","113427","-1","ORF"
"SDC25","chrXII","112847","115993","1","pseudogene"
"","chrIII","113080","113541","1","ORF"
"STE3","chrXI","113215","114627","-1","ORF"
"","chrXV","113226","113579","1","ORF"
"CAF120","chrXIV","113271","116453","1","ORF"
"GPA1","chrVIII","113499","114917","-1","ORF"
"ATS1","chrI","113614","114615","-1","ORF"
"PTC3","chrII","113762","115168","1","ORF"
"","chrIII","113770","114024","1","ORF"
"","chrXV","113802","113874","1","tRNA gene"
"MET18","chrIX","113806","116904","1","ORF"
"JJJ2","chrX","113878","115629","-1","ORF"
"WSC3","chrXV","114138","115808","-1","ORF"
"","chrI","114250","114819","1","ORF"
"","chrXI","114356","114694","1","ORF"
"NUS1","chrIV","114672","115799","1","ORF"
"FUN30","chrI","114919","118314","1","ORF"
"AUA1","chrVI","114990","115274","1","ORF"
"WWM1","chrVI","115108","115743","-1","ORF"
"USV1","chrXVI","115312","116487","1","ORF"
"","chrVII","115488","115583","1","tRNA gene"
"LST4","chrXI","115500","117986","-1","ORF"
"","chrII","115573","116829","-1","ORF"
"TIM10","chrVIII","115620","115901","-1","ORF"
"","chrIII","115685","115999","1","ORF"
"HMG1","chrXIII","115734","118898","-1","ORF"
"","chrX","115939","116010","-1","tRNA gene"
"ARO8","chrVII","116059","117561","1","ORF"
"","chrVIII","116107","116179","-1","tRNA gene"
"CDC4","chrVI","116145","118484","1","ORF"
"URA3","chrV","116167","116970","1","ORF"
"ARF1","chrIV","116321","116866","1","ORF"
"NDJ1","chrXV","116396","117454","-1","ORF"
"BPT1","chrXII","116432","121111","1","ORF"
"","chrXIV","116679","116867","1","ORF"
"RRT14","chrIX","117024","117644","-1","ORF"
"","chrXVI","117067","117687","1","ORF"
"","chrV","117183","117380","-1","ORF"
"TIM9","chrV","117211","117474","1","ORF"
"FMP33","chrX","117245","117787","1","ORF"
"MET2","chrXIV","117349","118809","1","ORF"
"CDC10","chrIII","117380","118348","-1","ORF"
"TOD6","chrII","117589","119166","1","ORF"
"RPL35A","chrIV","117664","118517","1","ORF"
"RPR1","chrV","117667","118035","-1","ncRNA gene"
"STP2","chrVIII","117814","119439","1","ORF"
"MCM6","chrVII","117854","120907","-1","ORF"
"PIR5","chrX","117962","118825","-1","ORF"
"STH1","chrIX","117992","122071","1","ORF"
"","chrXV","118000","119322","1","transposable element gene"
"","chrXV","118000","123268","1","transposable element gene"
"CET1","chrXVI","118382","120031","1","ORF"
"","chrXIV","118431","118826","-1","ORF"
"LDS1","chrI","118564","119541","-1","ORF"
"PXP1","chrV","118617","120299","-1","ORF"
"MRPL32","chrIII","118620","119171","1","ORF"
"UFD2","chrIV","118707","121592","-1","ORF"
"ZRT3","chrXI","118793","120304","1","ORF"
"BOR1","chrXIV","119268","120998","1","ORF"
"","chrII","119335","119709","1","ORF"
"SAS3","chrII","119379","121874","-1","ORF"
"SMC1","chrVI","119429","123106","1","ORF"
"YCP4","chrIII","119575","120318","-1","ORF"
"FPR3","chrXIII","120089","121324","-1","ORF"
"ERG11","chrVIII","120091","121683","-1","ORF"
"ALG5","chrXVI","120163","121167","-1","ORF"
"PSK1","chrI","120225","124295","1","ORF"
"TPO5","chrXI","120380","122236","-1","ORF"
"HSP150","chrX","120449","121690","1","ORF"
"MMS21","chrV","120498","121301","-1","ORF"
"CIT2","chrIII","120946","122328","-1","ORF"
"GOR1","chrXIV","121118","122170","-1","ORF"
"EMC6","chrXII","121322","121648","1","ORF"
"","chrV","121455","121988","-1","ORF"
"EAF5","chrV","121471","122310","1","ORF"
"NEW1","chrXVI","121767","125357","1","ORF"
"PUF3","chrXII","122075","124714","-1","ORF"
"RBS1","chrIV","122216","123589","1","ORF"
"CIS3","chrX","122265","122948","-1","ORF"
"","chrVII","122269","122341","1","tRNA gene"
"SNU114","chrXI","122517","125543","1","ORF"
"","chrIII","122530","123003","-1","ORF"
"","chrVIII","122550","122765","-1","ORF"
"KGD1","chrIX","122689","125733","1","ORF"
"EMP24","chrVII","122694","123305","-1","ORF"
"PIN4","chrII","122753","124759","-1","ORF"
"PMP2","chrV","122798","122929","-1","ORF"
"TOF1","chrXIV","122883","126599","1","ORF"
"SOD2","chrVIII","122889","123590","-1","ORF"
"RUF7","chrVI","123086","123585","1","ncRNA gene"
"RPL6A","chrXIII","123227","124172","-1","ORF"
"BLM10","chrVI","123479","129910","1","ORF"
"","chrVII","123572","124042","-1","ORF"
"SUF2","chrIII","123577","123648","-1","tRNA gene"
"YIP4","chrVII","123591","124298","1","ORF"
"GTT3","chrV","123657","124670","1","ORF"
"FAR1","chrX","123836","126328","-1","ORF"
"PPH22","chrIV","123865","124998","-1","ORF"
"ITR2","chrXV","124001","125830","1","ORF"
"TDA3","chrVIII","124109","125680","-1","ORF"
"","chrI","124307","124492","-1","ORF"
"MDS3","chrVII","124698","129161","1","ORF"
"TCB3","chrXIII","124730","129367","-1","ORF"
"NPP2","chrV","124737","126218","-1","ORF"
"","chrI","124755","125069","-1","ORF"
"TPD3","chrI","124879","126786","1","ORF"
"SEC17","chrII","125125","126119","1","ORF"
"","chrIV","125509","125838","-1","ORF"
"YEH1","chrXII","125534","127255","1","ORF"
"","chrIV","125616","126449","1","ORF"
"EBP2","chrXI","125759","127042","1","ORF"
"TPT1","chrXV","125997","126689","-1","ORF"
"","chrXVI","126006","126446","1","ORF"
"DFP3","chrIII","126011","126730","-1","ORF"
"AYR1","chrIX","126204","127097","1","ORF"
"RPL27A","chrVIII","126521","127492","1","ORF"
"","chrX","126604","126825","1","ORF"
"","chrIV","126608","126835","-1","ORF"
"EDC3","chrV","126629","128284","1","ORF"
"MMT2","chrXVI","126634","128088","-1","ORF"
"VMA1","chrIV","126787","130002","1","ORF"
"SEC2","chrXIV","126805","129084","-1","ORF"
"MOH1","chrII","126828","127244","1","ORF"
"SSY5","chrX","126853","128952","-1","ORF"
"NTG1","chrI","126903","128102","-1","ORF"
"IZH4","chrXV","126982","127920","-1","ORF"
"RRT1","chrII","127299","127610","1","ORF"
"NNK1","chrXI","127475","130261","1","ORF"
"SOF1","chrXII","127523","128992","1","ORF"
"VDE","chrIV","127636","129000","1","intein encoding region"
"","chrIV","127636","129000","1","intein_encoding_region"
"","chrIII","127716","127789","1","tRNA gene"
"DIA4","chrVIII","127780","129120","1","ORF"
"EDE1","chrII","127895","132040","-1","ORF"
"SIM1","chrIX","128151","129581","1","ORF"
"SYN8","chrI","128252","129019","-1","ORF"
"","chrV","128303","128608","-1","ORF"
"SAT4","chrIII","128470","130281","1","ORF"
"GRE1","chrXVI","128632","129138","-1","ORF"
"VAC8","chrV","128825","130561","1","ORF"
"","chrVI","129140","129904","1","ORF"
"PKH2","chrXV","129237","132482","1","ORF"
"DEP1","chrI","129270","130487","1","ORF"
"FBP26","chrX","129285","130643","-1","ORF"
"PSR1","chrXII","129330","130613","-1","ORF"
"VPS29","chrVIII","129481","130448","1","ORF"
"BNI1","chrXIV","129522","135383","-1","ORF"
"COG8","chrXIII","129749","131572","-1","ORF"
"DSD1","chrVII","129883","131169","1","ORF"
"FMP40","chrXVI","130162","132228","1","ORF"
"SEC4","chrVI","130334","130981","1","ORF"
"RPL41A","chrIV","130407","130484","-1","ORF"
"POG1","chrIX","130610","131665","1","ORF"
"MRPL38","chrXI","130634","131050","1","ORF"
"","chrXI","130685","131068","-1","ORF"
"ARD1","chrVIII","130730","131446","-1","ORF"
"RVS161","chrIII","130745","131542","-1","ORF"
"CYS3","chrI","130799","131983","1","ORF"
"MRX19","chrIV","130871","131833","-1","ORF"
"RUF20","chrVI","131061","131503","-1","ncRNA gene"
"","chrV","131082","131153","-1","tRNA gene"
"VPS35","chrX","131101","133935","-1","ORF"
"COX17","chrXII","131205","131414","-1","ORF"
"KKQ8","chrXI","131288","133462","-1","ORF"
"GCN1","chrVII","131525","139543","1","ORF"
"DRS1","chrXII","131729","133987","1","ORF"
"UBC8","chrV","131772","132551","1","ORF"
"VTC2","chrVI","131810","134296","1","ORF"
"","chrXIII","131825","131896","-1","tRNA gene"
"","chrXVI","131870","132115","-1","ORF"
"","chrXV","132017","132508","-1","ORF"
"SPO13","chrVIII","132047","132922","1","ORF"
"SWC3","chrI","132199","134076","1","ORF"
"QDR2","chrIX","132244","133872","1","ORF"
"ADY2","chrIII","132273","133124","-1","ORF"
"PSY4","chrII","132424","133749","1","ORF"
"SDD3","chrXV","132725","135838","-1","ORF"
"","chrVIII","133026","133107","-1","tRNA gene"
"FLC1","chrXVI","133043","135424","1","ORF"
"GLC3","chrV","133120","135234","1","ORF"
"LYS20","chrIV","133437","134723","1","ORF"
"DAK1","chrXIII","133475","135229","1","ORF"
"MRP49","chrXI","133721","134134","-1","ORF"
"ADP1","chrIII","133724","136873","-1","ORF"
"COR1","chrII","134143","135516","-1","ORF"
"MDM10","chrI","134184","135665","-1","ORF"
"LMO1","chrXII","134302","136299","-1","ORF"
"","chrVIII","134321","134392","1","tRNA gene"
"INO1","chrX","134332","135933","-1","ORF"
"QDR1","chrIX","134417","136108","1","ORF"
"TPK3","chrXI","134509","135705","-1","ORF"
"MSH4","chrVI","134521","137157","-1","ORF"
"MIP6","chrVIII","134554","136533","1","ORF"
"INH1","chrIV","135179","135436","1","ORF"
"","chrV","135425","135497","-1","tRNA gene"
"POB3","chrXIII","135500","137158","1","ORF"
"RPL1A","chrXVI","135790","136443","1","ORF"
"","chrXI","135790","136023","-1","ORF"
"SPO7","chrI","135854","136633","1","ORF"
"AIT1","chrIV","135896","137539","1","ORF"
"ALP1","chrXIV","135940","137661","-1","ORF"
"","chrII","135998","136366","1","ORF"
"SNR58","chrXV","136088","136183","-1","snoRNA gene"
"","chrIII","136147","136449","1","ORF"
"","chrX","136174","136533","1","ORF"
"","chrXV","136220","136405","1","ORF"
"","chrV","136279","136629","1","ORF"
"","chrXII","136345","136521","1","ORF"
"","chrV","136371","136778","-1","ORF"
"SNA3","chrX","136372","136773","-1","ORF"
"WRS1","chrXV","136527","137825","-1","ORF"
"MMM1","chrXII","136586","137866","1","ORF"
"RPI1","chrIX","136654","137877","-1","ORF"
"ECM13","chrII","136688","137461","1","ORF"
"PCL8","chrXVI","136750","138228","1","ORF"
"YSC84","chrVIII","136881","138455","-1","ORF"
"FUN14","chrI","136914","137510","1","ORF"
"","chrX","137123","137425","1","ORF"
"DAS1","chrX","137379","139370","1","ORF"
"","chrVI","137486","137559","-1","tRNA gene"
"ITT1","chrXIII","137550","138944","1","ORF"
"ERP2","chrI","137698","138345","-1","ORF"
"BSC4","chrXIV","137699","138094","1","ORF"
"PGK1","chrIII","137746","138996","1","ORF"
"MCD4","chrXI","137932","140691","-1","ORF"
"SPO75","chrXII","137940","140546","-1","ORF"
"COQ3","chrXV","138107","139045","-1","ORF"
"","chrVI","138204","139520","1","transposable element gene"
"","chrVI","138204","143517","1","transposable element gene"
"PCL9","chrIV","138291","139205","1","ORF"
"FUI1","chrII","138341","140260","-1","ORF"
"","chrIII","138402","139049","-1","ORF"
"LYP1","chrXIV","138550","140385","1","ORF"
"","chrV","138666","138737","1","tRNA gene"
"YSC83","chrVIII","138694","139851","1","ORF"
"SAR1","chrXVI","138698","139409","1","ORF"
"GCN4","chrV","138918","139763","-1","ORF"
"ERV41","chrXIII","139063","140214","-1","ORF"
"TRN1","chrI","139152","139254","1","tRNA gene"
"POL4","chrIII","139185","140933","-1","ORF"
"HMI1","chrXV","139227","141347","-1","ORF"
"SSA1","chrI","139503","141431","-1","ORF"
"DLD2","chrIV","139522","141114","1","ORF"
"SNR128","chrX","139566","139691","-1","snoRNA gene"
"BMS1","chrXVI","139620","143171","-1","ORF"
"","chrVII","139719","139961","-1","ORF"
"RHO3","chrIX","139752","140447","1","ORF"
"SNR190","chrX","139761","139950","-1","snoRNA gene"
"ARG4","chrVIII","140011","141402","-1","ORF"
"HOS2","chrVII","140368","141726","-1","ORF"
"SMA2","chrXIII","140424","141533","-1","ORF"
"RPA34","chrX","140437","141138","1","ORF"
"","chrV","140512","140892","1","ORF"
"PRM5","chrIX","140613","141569","-1","ORF"
"","chrV","140726","140818","-1","ORF"
"","chrI","140760","141407","1","ORF"
"PIK1","chrXIV","140878","144078","1","ORF"
"","chrXI","141018","141089","-1","tRNA gene"
"ORC3","chrXII","141073","142923","1","ORF"
"","chrIV","141209","141721","-1","ORF"
"CTO1","chrIII","141217","142170","-1","ORF"
"PRE7","chrII","141247","141972","1","ORF"
"SMT1","chrX","141419","142567","-1","ORF"
"RFC4","chrXV","141584","142555","-1","ORF"
"PIR1","chrXI","141794","142819","-1","ORF"
"MIT1","chrV","141892","143892","1","ORF"
"DED81","chrVIII","141894","143558","-1","ORF"
"RME2","chrVII","141898","144120","-1","ncRNA gene"
"","chrVII","141916","142227","-1","ORF"
"GID12","chrIV","142097","144223","1","ORF"
"ERD2","chrII","142112","142868","-1","ORF"
"EFB1","chrI","142174","143160","1","ORF"
"ORC1","chrXIII","142210","144954","1","ORF"
"IME4","chrVII","142246","144048","1","ORF"
"SNR33","chrIII","142364","142546","-1","snoRNA gene"
"SNR18","chrI","142367","142468","1","snoRNA gene"
"SUF16","chrIII","142701","142771","-1","tRNA gene"
"TRM10","chrXV","142815","143696","1","ORF"
"HIS5","chrIX","142928","144085","1","ORF"
"SFI1","chrXII","143201","146041","1","ORF"
"IDS2","chrX","143292","144701","1","ORF"
"MIN6","chrII","143393","143572","1","ORF"
"RBP95","chrIII","143634","144506","1","ORF"
"VPS8","chrI","143707","147531","1","ORF"
"","chrXVI","143821","147129","1","ORF"
"URA7","chrII","143989","145728","-1","ORF"
"","chrVIII","143996","146062","1","ORF"
"YPQ1","chrXV","144204","145130","1","ORF"
"","chrXIV","144245","144664","1","ORF"
"","chrIX","144268","144639","1","ORF"
"IST1","chrXIV","144280","145281","-1","ORF"
"NUP159","chrIX","144327","148709","-1","ORF"
"YEA6","chrV","144327","145334","1","ORF"
"PIR3","chrXI","144401","145378","1","ORF"
"AIR2","chrIV","144484","145518","-1","ORF"
"CWH43","chrIII","144773","147634","-1","ORF"
"COX13","chrVII","144808","145197","1","ORF"
"","chrII","144948","145031","-1","ORF"
"SPB4","chrVI","145114","146934","-1","ORF"
"TEM1","chrXIII","145139","145876","-1","ORF"
"SFH5","chrX","145160","146044","1","ORF"
"SPO21","chrXV","145334","147163","1","ORF"
"PDR17","chrXIV","145563","146615","-1","ORF"
"CDC55","chrVII","145809","147389","-1","ORF"
"DLD1","chrIV","145826","147589","-1","ORF"
"VAB2","chrV","145907","146755","-1","ORF"
"","chrXI","145922","146074","-1","ORF"
"MRPL16","chrII","146187","146885","1","ORF"
"","chrVIII","146242","146314","-1","tRNA gene"
"RTT109","chrXII","146291","147601","1","ORF"
"ROQ1","chrX","146359","146673","1","ORF"
"RPS1B","chrXIII","146482","147249","1","ORF"
"YIF1","chrXIV","146896","147840","-1","ORF"
"YEA4","chrV","146951","147979","1","ORF"
"TIM17","chrX","147101","147577","1","ORF"
"DEG1","chrVI","147131","148459","1","ORF"
"APL3","chrII","147209","150286","1","ORF"
"MSH2","chrXV","147382","150276","1","ORF"
"CBP3","chrXVI","147416","148423","1","ORF"
"MFT1","chrXIII","147505","148683","-1","ORF"
"TFC3","chrI","147594","151166","-1","ORF"
"","chrXI","147630","148838","-1","ORF"
"IRC9","chrX","147819","148211","-1","ORF"
"RPS27B","chrVIII","147871","148669","-1","ORF"
"DNM1","chrXII","147890","150163","1","ORF"
"YAK1","chrX","147967","150390","-1","ORF"
"GIM4","chrV","148176","148599","1","ORF"
"PAR32","chrIV","148191","149078","1","ORF"
"POL2","chrXIV","148212","154880","1","ORF"
"RPS26A","chrVII","148229","148588","-1","ORF"
"SRD1","chrIII","148238","148903","-1","ORF"
"THI6","chrXVI","148569","150191","-1","ORF"
"","chrIV","148607","149086","-1","ORF"
"WBP1","chrV","148722","150014","-1","ORF"
"","chrVII","148824","148964","-1","ORF"
"PIF1","chrXIII","148953","151532","-1","ORF"
"LOC1","chrVI","149110","149724","1","ORF"
"POR2","chrIX","149143","149988","-1","ORF"
"GLT1","chrIV","149203","155640","-1","ORF"
"ECM12","chrVIII","149225","149680","1","ORF"
"","chrVII","149343","149516","-1","ORF"
"KDX1","chrXI","149386","150687","-1","ORF"
"","chrVIII","149575","150345","-1","ORF"
"COX4","chrVII","149704","150171","-1","ORF"
"","chrIII","149920","149991","1","tRNA gene"
"NIC96","chrVI","150016","152535","1","ORF"
"IRC22","chrV","150301","150978","-1","ORF"
"HAL9","chrXV","150398","153490","-1","ORF"
"","chrII","150447","151220","-1","ORF"
"SDP1","chrIX","150559","151188","1","ORF"
"LEA1","chrXVI","150614","151330","1","ORF"
"RPB4","chrX","150961","151626","1","ORF"
"TPN1","chrVII","151037","152776","-1","ORF"
"","chrVIII","151217","151306","-1","ORF"
"","chrIII","151284","151356","-1","tRNA gene"
"","chrXII","151389","153977","-1","ORF"
"POL12","chrII","151493","153610","-1","ORF"
"PUS1","chrXVI","151515","153149","-1","ORF"
"HOS4","chrIX","151595","154846","1","ORF"
"","chrIII","151608","151862","-1","ORF"
"MYO1","chrVIII","151666","157452","1","ORF"
"YUR1","chrX","151713","152999","-1","ORF"
"OGG1","chrXIII","151871","153001","1","ORF"
"NUP60","chrI","152257","153876","1","ORF"
"YPI1","chrVI","152657","153124","-1","ORF"
"MAK32","chrIII","152837","153928","1","ORF"
"","chrVII","153167","154306","-1","ORF"
"NTE1","chrXIII","153219","158258","-1","ORF"
"ELF1","chrXI","153269","153706","1","ORF"
"RPN11","chrVI","153393","154313","1","ORF"
"NIP7","chrXVI","153495","154040","1","ORF"
"TIF2","chrX","153504","154691","-1","ORF"
"MNN1","chrV","153520","155808","1","ORF"
"RCN1","chrXI","153816","154451","-1","ORF"
"STU1","chrII","153848","158389","-1","ORF"
"MPD2","chrXV","153912","154745","-1","ORF"
"PET18","chrIII","154012","154659","-1","ORF"
"ERP1","chrI","154065","154724","-1","ORF"
"SRP72","chrXVI","154290","156212","-1","ORF"
"NOC3","chrXII","154343","156334","-1","ORF"
"SAD1","chrVI","154527","155873","-1","ORF"
"STR3","chrVII","154615","156012","-1","ORF"
"MAK31","chrIII","154830","155096","-1","ORF"
"GLG2","chrX","154985","156127","-1","ORF"
"APE2","chrXI","154991","158232","1","ORF"
"","chrXI","154996","155298","1","ORF"
"SWD1","chrI","155005","156285","1","ORF"
"ORC5","chrXIV","155100","156539","1","ORF"
"COX5B","chrIX","155222","155765","1","ORF"
"DUF1","chrXV","155287","158637","-1","ORF"
"HTL1","chrIII","155320","155556","1","ORF"
"HPM1","chrIX","156045","157178","1","ORF"
"HSP30","chrIII","156109","157107","-1","ORF"
"","chrVI","156145","157752","1","ORF"
"","chrX","156169","156252","1","ORF"
"UGA3","chrIV","156318","157904","1","ORF"
"IPL1","chrXVI","156490","157593","-1","ORF"
"MND1","chrVII","156543","157285","-1","ORF"
"RPS21B","chrX","156550","157273","-1","ORF"
"RFA1","chrI","156754","158619","-1","ORF"
"NOP16","chrV","156803","157498","1","ORF"
"CMS1","chrXII","156855","157730","-1","ORF"
"LTO1","chrXIV","156859","157347","-1","ORF"
"","chrVII","157273","157596","-1","ORF"
"SEC24","chrIX","157385","160165","-1","ORF"
"","chrIII","157421","157765","-1","ORF"
"ATX1","chrXIV","157644","157865","-1","ORF"
"PMI40","chrV","157736","159118","-1","ORF"
"MAS2","chrVIII","157744","159192","-1","ORF"
"RKM1","chrXVI","157842","159593","1","ORF"
"","chrX","157877","158194","1","ORF"
"GTS1","chrVII","157906","159096","1","ORF"
"","chrVI","157916","158007","-1","tRNA gene"
"THI73","chrXII","157934","159505","-1","ORF"
"UGX2","chrIV","158064","158735","-1","ORF"
"DSL1","chrXIV","158109","160373","-1","ORF"
"LCB3","chrX","158188","159417","1","ORF"
"","chrIII","158538","160373","-1","ORF"
"RPS27A","chrXI","158613","159212","1","ORF"
"RIB1","chrII","158656","159693","-1","ORF"
"HUG1","chrXIII","158760","158966","1","ORF"
"SEN34","chrI","158966","159793","1","ORF"
"","chrXI","158975","159091","-1","ORF"
"MHF1","chrXV","159173","159445","1","ORF"
"YFH7","chrVI","159299","160360","1","ORF"
"SML1","chrXIII","159383","159697","1","ORF"
"THR1","chrVIII","159438","160511","1","ORF"
"RSM22","chrXI","159456","161342","-1","ORF"
"ADH1","chrXV","159548","160594","-1","ORF"
"FMP52","chrV","159580","160275","1","ORF"
"SFA1","chrIV","159604","160764","1","ORF"
"DPI8","chrX","159623","159847","-1","ORF"
"TYW1","chrXVI","159909","162341","1","ORF"
"","chrXIII","160023","160412","-1","ORF"
"SSL1","chrXII","160049","161434","1","ORF"
"ATG1","chrVII","160065","162758","1","ORF"
"CMP2","chrXIII","160180","161994","1","ORF"
"HEK2","chrII","160184","161329","1","ORF"
"FAR7","chrVI","160535","161200","1","ORF"
"YND1","chrV","160550","162442","1","ORF"
"","chrI","160597","164187","-1","transposable element gene"
"MRS3","chrX","160619","161563","1","ORF"
"SIP3","chrXIV","160631","164320","-1","ORF"
"SLM5","chrIII","160744","162222","-1","ORF"
"VMA16","chrVIII","160844","161485","1","ORF"
"","chrIX","160887","162977","1","ORF"
"NRP1","chrIV","160995","163154","-1","ORF"
"","chrXV","161579","161791","1","ORF"
"SRP102","chrXI","161601","162335","1","ORF"
"","chrXV","161673","162014","-1","ORF"
"SHE1","chrII","161699","162715","1","ORF"
"RPN1","chrVIII","161730","164711","-1","ORF"
"SSK1","chrXII","161755","163893","-1","ORF"
"","chrX","161914","164166","1","ORF"
"IMD4","chrXIII","162194","164176","-1","ORF"
"SUF20","chrVI","162228","162298","1","tRNA gene"
"PHM7","chrXV","162356","165331","1","ORF"
"","chrXI","162487","162558","-1","tRNA gene"
"GCN20","chrVI","162488","164746","1","ORF"
"","chrIII","162599","162865","-1","ORF"
"PGC1","chrXVI","162632","163597","-1","ORF"
"NUG1","chrV","162723","164285","1","ORF"
"PMP1","chrIII","162945","163067","-1","ORF"
"PET9","chrII","163041","163997","-1","ORF"
"PFK26","chrIX","163278","165761","-1","ORF"
"TOS3","chrVII","163409","165091","-1","ORF"
"","chrIII","163446","163856","-1","ORF"
"FAP7","chrIV","163449","164042","-1","ORF"
"SNR54","chrXIII","163535","163620","-1","snoRNA gene"
"","chrXI","163600","164109","1","ORF"
"GPM1","chrXI","163642","164385","-1","ORF"
"","chrVI","163875","164132","1","ORF"
"","chrXVI","163922","164266","-1","ORF"
"NPP1","chrIII","164111","166339","-1","ORF"
"HRR25","chrXVI","164276","165760","1","ORF"
"AIM23","chrX","164278","165348","-1","ORF"
"CDC36","chrIV","164290","164865","1","ORF"
"","chrV","164344","164661","-1","ORF"
"NSE1","chrXII","164392","165402","1","ORF"
"","chrII","164488","164772","-1","ORF"
"PAC2","chrV","164527","166083","1","ORF"
"","chrI","164544","165866","-1","transposable element gene"
"FOL1","chrXIV","164623","167097","1","ORF"
"SPC2","chrXIII","164790","165326","1","ORF"
"NNR2","chrXI","164917","165930","-1","ORF"
"DAP2","chrVIII","164978","167434","-1","ORF"
"CDC9","chrIV","164987","167254","-1","ORF"
"UBP6","chrVI","165067","166566","1","ORF"
"CYB2","chrXIII","165533","167308","-1","ORF"
"PAM18","chrXII","165577","166083","-1","ORF"
"ATG34","chrXV","165714","166952","1","ORF"
"URA2","chrX","165723","172367","-1","ORF"
"","chrII","166134","167264","1","ORF"
"TMA20","chrV","166237","166885","-1","ORF"
"TPK2","chrXVI","166256","167398","1","ORF"
"TGA1","chrI","166267","166339","1","tRNA gene"
"MOB1","chrIX","166415","167444","1","ORF"
"","chrXV","166461","166601","-1","ORF"
"RLP24","chrXII","166537","167136","1","ORF"
"MCR1","chrXI","166544","167452","1","ORF"
"","chrVI","166728","166916","1","ORF"
"BUD14","chrI","166742","168871","-1","ORF"
"MIC19","chrVI","166746","167258","-1","ORF"
"","chrIV","166956","167258","1","ORF"
"TEN1","chrXII","167320","167802","-1","ORF"
"GIS2","chrXIV","167329","167790","-1","ORF"
"MPT5","chrVII","167352","170571","1","ORF"
"","chrVIII","167352","167672","1","ORF"
"","chrIV","167359","167715","-1","ORF"
"RHB1","chrIII","167370","167999","-1","ORF"
"SNR14","chrV","167427","167586","-1","snRNA gene"
"SUP11","chrVI","167437","167525","1","tRNA gene"
"","chrII","167518","167838","-1","ORF"
"","chrVII","167559","167906","1","ORF"
"SLM1","chrIX","167581","169641","-1","ORF"
"DBR1","chrXI","167612","168829","-1","ORF"
"","chrXIII","167623","167781","-1","ORF"
"","chrIX","167664","167804","1","ORF"
"YHI9","chrVIII","167677","168561","-1","ORF"
"ENT1","chrIV","167714","169078","1","ORF"
"SEC3","chrV","167808","171818","-1","ORF"
"DCV1","chrVI","167888","168496","1","ORF"
"","chrXII","167944","168025","-1","tRNA gene"
"RTC4","chrXIV","168043","169248","-1","ORF"
"AFT2","chrXVI","168088","169338","-1","ORF"
"","chrIII","168301","168372","-1","tRNA gene"
"RPL19B","chrII","168423","169376","1","ORF"
"ATG19","chrXV","168727","169974","1","ORF"
"SUP5","chrXIII","168795","168883","1","tRNA gene"
"SLT2","chrVIII","168890","170344","-1","ORF"
"LOT6","chrXII","169103","169678","1","ORF"
"","chrXIII","169116","169754","-1","ORF"
"SDH1","chrXI","169207","171129","-1","ORF"
"","chrVI","169224","169310","1","ORF"
"MHF2","chrIV","169366","169608","-1","ORF"
"ADE1","chrI","169375","170295","1","ORF"
"YIG1","chrXVI","169770","171155","-1","ORF"
"IOC3","chrVI","169922","172285","1","ORF"
"SHQ1","chrIX","169982","171505","-1","ORF"
"","chrXII","169982","170281","-1","ORF"
"TEX1","chrXIV","170018","171286","1","ORF"
"KIN3","chrI","170396","171703","-1","ORF"
"SUR7","chrXIII","170402","171310","1","ORF"
"DHH1","chrIV","170410","171930","-1","ORF"
"LSM2","chrII","170623","171038","1","ORF"
"RRM3","chrVIII","170799","172970","-1","ORF"
"FEN2","chrIII","170886","172424","-1","ORF"
"IRA2","chrXV","171070","180309","1","ORF"
"GAT3","chrXII","171339","171764","1","ORF"
"","chrVII","171415","173079","-1","ORF"
"MRPL17","chrXIV","171441","172286","-1","ORF"
"RRN10","chrII","171481","171918","1","ORF"
"CSM4","chrXVI","171484","171954","1","ORF"
"","chrXI","171551","172168","-1","ORF"
"GAL80","chrXIII","171594","172901","1","ORF"
"","chrIII","171643","172169","-1","ORF"
"DPH1","chrIX","171751","173028","1","ORF"
"AVT3","chrXI","171783","173861","1","ORF"
"","chrXVI","172033","172755","-1","ORF"
"NTF2","chrV","172115","172492","1","ORF"
"","chrIV","172182","172313","1","ORF"
"CDC15","chrI","172211","175135","-1","ORF"
"PPR1","chrXII","172268","174982","-1","ORF"
"STE7","chrIV","172481","174028","1","ORF"
"NCL1","chrII","172534","174588","1","ORF"
"CMK1","chrVI","172537","173877","-1","ORF"
"","chrIII","172554","172976","-1","ORF"
"NRD1","chrXIV","172588","174315","-1","ORF"
"","chrV","172634","173338","-1","ORF"
"RIM1","chrIII","172950","173440","-1","ORF"
"","chrIV","173056","173232","-1","ORF"
"AIM32","chrXIII","173139","174074","1","ORF"
"RPL7B","chrXVI","173152","174702","1","ORF"
"SAE2","chrVII","173285","174322","-1","ORF"
"ERC1","chrVIII","173344","175089","1","ORF"
